"ACTIVITY" "PERSON" "AVERAGE"
"1" "WALKING" 1 1.387865
"2" "WALKING" 1 1.426164
"3" "WALKING" 1 1.016552
"4" "WALKING" 1 0.9882246
"5" "WALKING" 1 1.223435
"6" "WALKING" 1 1.389148
"7" "WALKING" 1 0.7302707
"8" "WALKING" 1 1.457977
"9" "WALKING" 1 1.046428
"10" "WALKING" 1 1.266584
"11" "WALKING" 1 0.7885076
"12" "WALKING" 1 0.8750768
"13" "WALKING" 1 1.156162
"14" "WALKING" 1 1.474811
"15" "WALKING" 1 0.669881
"16" "WALKING" 1 1.396593
"17" "WALKING" 1 0.8282817
"18" "WALKING" 1 0.9074133
"19" "WALKING" 1 1.331309
"20" "WALKING" 1 1.40042
"21" "WALKING" 1 0.9634494
"22" "WALKING" 1 1.006161
"23" "WALKING" 1 0.5532989
"24" "WALKING" 1 1.398223
"25" "WALKING" 1 0.7508646
"26" "WALKING" 1 0.9837638
"27" "WALKING" 1 0.9293387
"28" "WALKING" 1 0.7358651
"29" "WALKING" 1 0.8379409
"30" "WALKING" 1 1.283582
"31" "WALKING" 1 0.7123868
"32" "WALKING" 1 1.047735
"33" "WALKING" 1 0.9226666
"34" "WALKING" 1 0.6356514
"35" "WALKING" 1 1.271727
"36" "WALKING" 1 0.6823728
"37" "WALKING" 1 1.128987
"38" "WALKING" 1 1.429742
"39" "WALKING" 1 0.6721125
"40" "WALKING" 1 1.094995
"41" "WALKING" 1 0.7090905
"42" "WALKING" 1 0.815193
"43" "WALKING" 1 0.9341592
"44" "WALKING" 1 1.03723
"45" "WALKING" 1 1.142251
"46" "WALKING" 1 1.360235
"47" "WALKING" 1 0.8356068
"48" "WALKING" 1 0.7365783
"49" "WALKING" 1 0.847963
"50" "WALKING" 1 0.8518387
"51" "WALKING" 1 1.408432
"52" "WALKING" 1 1.425195
"53" "WALKING" 1 0.9803185
"54" "WALKING" 1 0.7654116
"55" "WALKING" 1 0.9932259
"56" "WALKING" 1 0.9463616
"57" "WALKING" 1 1.004057
"58" "WALKING" 1 0.8969154
"59" "WALKING" 1 1.232241
"60" "WALKING" 1 0.6896882
"61" "WALKING" 1 0.8284799
"62" "WALKING" 1 1.22985
"63" "WALKING" 1 0.6898549
"64" "WALKING" 1 0.7312238
"65" "WALKING" 1 0.990245
"66" "WALKING" 1 0.9824052
